abate	to lessen, to subside        
admonish /-nitory	(-)warn strongly, take to task / containing warning          
affable	(+)polite and friendly       
allegiance	(+)duty, support, loyalty         
altruism	(+)quality of unselfish concern for the welfare of others, selflessness
amalgamate	to combine several elements into a whole
ambidextrous	(+)able to use the left hand or the right equally well 
ambiguous	(-)having two contrary meanings, equivocal
ambivalent 	(-)characterized by opposite feelings or emotions
amenable	(+)ageeable; responsive to suggestion; changeable
anachronism	something out of place i.t.o. its historical or chronological context
apprise	(+)make aware of, give information or notice to ; Gain in value (of currency)
appropriate	(-)confiscate, invade
apt	(+)well-suited, quick-witted, pertinent         
arboreal	of connected with trees        
aseptic	(+)surgically clean        
assiduous	(+)diligent, hard-working, sedulous         
assuage	(+)make something (pain desire) less       
austere	severely moral and strict, simple and plain, ascetic, stark
avatar	incarnation ; new personification of a familiar idea
aversion	(-)strong dislike          
axiom / axiomatic	a universally accepted principle; self evident truth, taken as given
baneful	(-)causing harm or ruin, sinister, ominous, pernicious, baleful
barrage	artificial obstacle built across a river      
barren	(-)not good enough, unable to have young ones without value  
belie	(-)be in contradiction with, represent falsely, negate, contradict
benevolence	(+)wish or activity in doing good      
berate	(-)scold sharply, reproach, vituperate, upbraid
blithe	(+)cheerful, casual, carefree, insouciant, nonchalant
burgeon	(+)to expand, grow and flourish
burnish	(+)to polish rub to a shine      
cacophony / -nous	(-)a loud harsh or strident noise
cajole	(-)use flattery or deceit to persuade    
calcify	to change into a hard, stony condition, petrify
cannon	(+)code of laws or set of principles (usually religious in nature)
capitulate	(-)to surrender, give up
castigate / -ion	(-)to chastise correct by punishing / severe punishment          
caustic	(-)biting, sarcastic (in speech), satire   
chicanery	(-)legal trickery, deception,  shenanigan, guile, foxiness / false argument
coagulation	change to a thick and solid state   
coalescing	(+)coming together and uniting into one substance     
cogent	(+)strong convincing          
compendium	a concise but comprehensive summary of a larger work, collection
concord	(+)agreement or harmony         
confluence	flowing together, place where two things come together
